subject,acc,precision,recall,f1score
1.000000000000000000e+00,8.209576682859125185e+01,7.629213483146067842e-01,9.352617079889806728e-01,8.403465346534654268e-01
2.000000000000000000e+00,5.304347826086956985e+01,5.076495132127955001e-01,6.033057851239669311e-01,5.513595166163141048e-01
3.000000000000000000e+00,5.553030303030303116e+01,5.707898658718331131e-01,5.615835777126099160e-01,5.661492978566149414e-01
4.000000000000000000e+00,7.145581691036237260e+01,7.034313725490196623e-01,7.349551856594109811e-01,7.188478396994364417e-01
6.000000000000000000e+00,5.461703650680028943e+01,5.637119113573406670e-01,5.606060606060605522e-01,5.621546961325964986e-01
7.000000000000000000e+00,6.842975206611569661e+01,7.442396313364055827e-01,5.437710437710437938e-01,6.284046692607004880e-01
8.000000000000000000e+00,4.839160839160839345e+01,4.919571045576407453e-01,5.055096418732781816e-01,4.986413043478260532e-01
9.000000000000000000e+00,4.961832061068702160e+01,4.913385826771653475e-01,4.363636363636363424e-01,4.622222222222222010e-01
1.200000000000000000e+01,5.796425796425796051e+01,5.290858725761773407e-01,6.552315608919382361e-01,5.854406130268199338e-01
1.300000000000000000e+01,5.418541854185418316e+01,5.229357798165137350e-01,6.345083487940630373e-01,5.733445096395640705e-01
1.400000000000000000e+01,6.721763085399449267e+01,6.661562021439509929e-01,6.277056277056276556e-01,6.463595839524517439e-01
1.500000000000000000e+01,5.655794587092296410e+01,5.300400534045394130e-01,5.916542473919522704e-01,5.591549295774647099e-01
1.600000000000000000e+01,6.873614190687361258e+01,7.500000000000000000e-01,5.844155844155843882e-01,6.569343065693431516e-01
1.700000000000000000e+01,7.343149807938540619e+01,7.168246445497630237e-01,7.746478873239436291e-01,7.446153846153844569e-01
1.900000000000000000e+01,5.257289879931389720e+01,3.522975929978118259e-01,3.851674641148325473e-01,3.679999999999999938e-01
